Id1,VARENNES 52,Points Service Public,2017-01-28,711,PUB,FAV
Id2,LANGRES 52,Quartier Maison,1997-01-21,890,PUB,FAV
Id3,LANGRES 52,Espace culturel,2011-10-22,892,NUT,FAV
Id4,SARREY 52,RESTAURANT,2012-01-22,711,PUB,DEF
Id5,LANGRES 52,Magasin Aubert,2010-12-16,1204,PUB,FAV
Id6,LANGRES 52,CUISINELA,2017-01-28,888,PUB,FAV
Id7,Nancy 54,Conforama,2012-01-22,666,PUB,DEF
Id8,Nancy 54,AUCHAN,2012-01-10,999,PUB,FAV
Id9,METZ 57,ZENITH,2010-01-01,833,NUT,FAV
Id10,METZ 57,Stade,2012-01-22,711,PUB,FAV
